"ID","Name of the vaccine","Microbe","Disease name","Name of bacteria","Type of vaccine","Nucleic acid content","Age","Description of the vaccine","Name of the manufacturer","Name of the manufacturing country","Year of manufacture","Clinical Phase status","Bacterial strain","Efficacy","Vaccine formulation","Dosage","Mechanism of action","Route of administration","Indications","Export","Approval","Adjuvant","Repurposing","Side effects of vaccine","Post vaccination","Dose type","Interspecies transfer","PubMed identifier","Clinical trial number","Reference","Other Name","Additional Links"
"1149","OmniHib","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Conjugate","DNA","2 months to 5 years","Haemophilus b conjugate vaccine (Tetanus toxoid conjugate) (PRP-T).","Pasteur Mérieux Serums & Vaccins S. A.","France","1993","Approved","Anaerobic gram-negative coccobacillus. ","NA","Whitish suspension","Four dose series (0.5 ml each). Primary series: One dose at 2, 4, and 6 months.\nBooster: One dose at 15 through 18 months.","NA","Intramuscular","Prevention of invasive diseases caused by diphtheria, tetanus, pertussis and H influenzae type b. ","Distributed by - SmithKline Beecham Pharmaceuticals","US FDA","NA","Also for diphtheria, tetanus and pertussis.","NA","NA","Combination doses","NA","NA","NA","https://www.cdc.gov/mmwr/preview/mmwrhtml/00044501.htm","NA","https://www.rxlist.com/dtp-drug.htm#description"
"1150","MenHibrix","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Conjugate","DNA","6 weeks to 18 months","Meningococcal groups C and Y and Haemophilus b tetanus toxoid conjugate vaccine.","GlaxoSmithKline Biologicals","Belgium","2012","Approved","Anaerobic gram-negative coccobacillus. ","Conducted with unconjugated Haemophilus b polysaccharide vaccine.","Single-dose vial of lyophilized vaccine reconstituted with saline diluent.","Four doses (0.5 mL each) at 2, 4, 6, and 12 through 15 months.","Anti-PRP concentration of 0.15 mcg/mL : minimal protection\nAnti-PRP concentration of greater than or equal to 1.0 mcg/mL : Protection for 1 year","Intramuscular","Prevents invasive disease caused by Neisseria meningitidis serogroups C and Y and Haemophilus influenzae type b.","Distributed by - GlaxoSmithKline","US FDA","NA","For Meningococcal (groups C and Y).","Injection site pain, redness, and swelling, irritability, drowsiness, loss of appetite and fever.","NA","Combination doses","NA","NA","NA","https://www.fda.gov/media/83688/download","GSK 792014, Hib-MenCY-TT","NA"
"1151","PedvaxHib","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Conjugate","DNA","2 to 71 months","Haemophilus b Conjugate Vaccine (Meningococcal Protein Conjugate) (PRP-OMPC).","Merck and Co. , INC.","United States","1989","Approved","Anaerobic gram-negative coccobacillus. ","93% for primary two doses. Efficacy for follow up period - 96.6% in children under 18 months and 100% in children over 18 months of age.","Liquid","Infants (2 to 14 months) : 0.5 mL dose at 2 months and a dose 2 months later. A booster dose (0.5 mL) at 12 to 15 months.\nChildren (15 months and older) : single 0.5 mL dose.","From 0.15 to 1.0 mcg/mL.","Intramuscular","Routine vaccination against invasive disease caused by Haemophilus influenzae type b.","Distributed by - Merck and Co. , INC.","NA","NA","For Meningococcal disease.","Irritability, sleepiness, injection site pain, erythema, swelling, unusual high pitched crying, prolonged crying, diarrhoea, vomiting, otitis media, rash, and upper respiratory infection.","NA","Both","NA","NA","NA","https://www.fda.gov/media/80438/download","NA","NA"
"1152","Pentacel","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Inactivated","DNA","6 weeks to 4 years","Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus and Haemophilus b Conjugate (Tetanus Toxoid Conjugate) vaccine \n(DTaP vaccine).","Sanofi Pasteur Limited and Sanofi Pasteur SA","Canada and France","2008","Approved","Anaerobic gram-negative coccobacillus. ","Study with H. influenzae type b polysaccharide vaccine in Finland.","Liquid vaccine","Four dose immunization series administered at 2, 4, 6 and 15-18 months.","Anti-PRP level of 0.15 mcg/mL : Minimal protection\nGreater than 1.0 mcg/mL : protection through one-year period","Intramuscular","The safety and effectiveness of Pentacel in infants less than 6 weeks of age and in children 5 to 16 years of age have not been established.","Distributed by- Sanofi Pasteur Inc. , USA","US FDA","Aluminium phosphate","For tetanus, pertussis, poliovirus and diphtheria.","Fussiness, inconsolable crying, fever, tenderness and increase in arm circumference.","NA","Combination doses","NA","NA","NCT00804284","https://www.fda.gov/media/74385/download","DTaP-IPV/Hib","NA"
"1153","Menitorix","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Conjugate","DNA","2 months to 2 years","Haemophilus type b and Meningococcal group C conjugate vaccine.","GlaxoSmithKline Biologicals","Belgium","2005","Approved","Anaerobic gram-negative coccobacillus. ","NA","Powder and solvent for solution for injection"," Single injection (0.5 ml). If first vaccination against Hib and MenC : three doses with a gap of at least four weeks.\nBooster protection:  in the second year of life.","Works by causing the body to produce its own protection (antibodies) against these bacteria.","Intramuscular","Prevents infectious diseases caused by Haemophilus influenzae type b (Hib) and Neisseria meningitidis group C (MenC) bacteria.","Marketing Authorisation Holder- SmithKline Beecham Ltd","Member States of the EEA","NA","For Meningococcal (groups C).","Very common - Pain, redness or swelling at the injection site, fever, irritability, loss of appetite and sleepiness.\nCommon - Injection site reaction, such as hard lump.","NA","Combination doses","NA","NA","NA","https://www.medicines.org.uk/emc/files/pil.167.pdf","NA","https://www.medicines.org.uk/emc/product/167/smpc#gref"
"1154","Infanrix hexa","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Conjugate","DNA","Babies and toddlers","Diphtheria, tetanus, pertussis (acellular, component), hepatitis B, poliomyelitis (inactivated) and Haemophilus influenzae type b (Hib) conjugate vaccine (adsorbed).","GlaxoSmithKline Biologicals","Belgium","2000","Approved","Anaerobic gram-negative coccobacillus.","Between 95 and 100%.","Powder and suspension","Two or three injections with at least 2 or 1 month gap.","Make antibodies.","Intramuscular","6-in-1 vaccine.","Marketing Authorisation Holder- GlaxoSmithKline UK Limited","European Medicines Agency","NA","For Diphtheria, tetanus, pertussis, hepatitis B, poliomyelitis.","Sleepiness, loss of appetite, high temperature, swelling, pain, redness, unusual crying, feeling irritable, diarrhoea, vomiting, feeling nervous.","NA","Combination doses","NA","NA","NCT01353703","https://www.medicines.org.uk/emc/files/pil.2586.pdf","DTPa-HBV-IPV/Hib","https://www.drugs.com/uk/infanrix-hexa.html"
"1155","Comvax","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","6 weeks to 15 months","Haemophilus b conjugate (meningococcal protein conjugate) and hepatitis b (recombinant) vaccine.","Merck Sharp & Dohme Corp.","United States","1996","Approved","Anaerobic gram-negative coccobacillus.","Efficacy similar to monovalent lyophilized PedvaxHIB.","Injection, suspension","Three-dose regimen (2,4 and 12-15 months).","0.15 to 1.0 mcg/mL","Intramuscular","Haemophilus influenzae type b and all known subtypes of hepatitis B virus in infants born of HBsAg negative mothers.","Distributed by - Merck Sharp & Dohme Corp., USA","NA","Aluminium hydroxy phosphate sulphate","For Hepatitis B","Injection site reactions, fever, anorexia, diarrhoea, vomiting, irritability, somnolence, crying, upper respiratory infection, rhinorrhoea, cough, rhinitis, rash, otitis media.","NA","Combination doses","NA","NA","NA","https://www.drugs.com/pro/comvax-vaccine.html","NA","https://www.rxlist.com/comvax-drug.htm#clinpharm"
"1156","HibTITER","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Conjugate","DNA","2 months to 5 years","Haemophilus b conjugate vaccine (tetanus toxoid conjugate) (HbOC).","Lederle-Praxis","NA","1989","Approved","Anaerobic gram-negative coccobacillus. ","Titer of antibody 0.15 µg/mL correlates with protection and greater than 1.0 µg/mL is associated with long-term protection.","Powder for Solution, Suspension","First dose at 2 to 6 months, followed by 2 more doses at least 8 weeks apart. Booster dose at 15 to 18 months.","IgG anti-HbPs antibodies of IgG1 subclass predominated.","Intramuscular","Immunization of children against invasive diseases caused by H. influenzae type b.","ACIP","NA","NA","NA","More common : Diarrhoea, loss of appetite, vomiting.\nLess common : Earache, redness or swelling in the ear.","NA","Combination doses","NA","NA","NA","https://www.drugs.com/cons/hibtiter.html","NA","https://www.rxlist.com/hibtiter-drug.htm#clinpharm"
"1157","ProHIBiT","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Conjugate","DNA","15 months and older","Haemophilus b Conjugate Vaccine (Diphtheria Toxoid-Conjugate) (PRP-D).","Connaught","NA","1989","Approved","Anaerobic gram-negative coccobacillus. ","90% protective efficacy in children 18 to 71 months.","Sterile solution","Single injection of 0.5 mL. Primary immunization at 15 months of age or as Booster vaccination at 12 to 15 months.","Induces Anti-capsular antibodies. Antibody concentration of 0.15 µg/mL  or more : Protection, 1 µg/mL or more : Long-term protection","Intramuscular","Immunization against invasive diseases caused by Haemophilus influenzae type b.","ACIP","NA","NA","NA","Diarrhoea, vomiting, crying, fever, irritability, sleepiness, anorexia, urticaria, seizure, and renal failure.","NA","Single dose","NA","NA","NA","https://www.rxlist.com/prohibit-drug.htm#description","NA","https://www.immunize.org/timeline/"
"1158","Infanrix-IPV+Hib","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Conjugate","DNA","2 months and older","Diphtheria, tetanus, pertussis (acellular component), poliomyelitis (inactivated) and Haemophilus influenzae type b (Hib) conjugate vaccine (adsorbed).","GlaxoSmithKline Biologicals S.A","Belgium","2005","Approved","Anaerobic gram-negative coccobacillus.","NA","Powder and suspension","Two or three injections, gap of 1 month.","NA","Intramuscular","Immunisation against diphtheria, tetanus, pertussis, poliomyelitis and Haemophilus influenzae type b disease.","Marketing authorisation holder - SmithKline Beecham Ltd","Member States of the EEA","Aluminium hydroxide","For Diphtheria, tetanus, pertussis and poliomyelitis.","Loss of appetite, high temperature, swelling, pain and redness, feeling restless, diarrhoea, hard lump, large swelling.","NA","Combination doses","NA","NA","NCT01309646","https://www.medicines.org.uk/emc/files/pil.5301.pdf","DTPa-IPV/Hib","https://www.medicines.org.uk/emc/medicine/28678#gref"
"1159","Infanrix/Hib","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","15 months and older","DTPa/Hib vaccine.","GlaxoSmithKline","Canada","2008","Approved","Anaerobic gram-negative coccobacillus.","NA","NA","Single dose of Infanrix mixed with Hiberix.","NA","Intramuscular","NA","NA","NA","Aluminium hydroxide","For acellular pertussis, diphtheria and tetanus.","NA","NA","Single dose","NA","NA","NCT00696423","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=584&keywords=","NA","NA"
"1160","Vaxem Hib","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Conjugate","DNA","2 months and older","Haemophilus influenzae type b conjugate vaccine.","Novartis Vaccines & Diagnostics S.r.l and GlaxoSmithKline","Italy","NA","Approved","Anaerobic gram-negative coccobacillus. ","NA","Colourless white opalescent liquid","Primary Series-\nUnder 13 months : Three 0.5ml doses, gap of 4 weeks.\n13 months and greater : Single 0.5 mL dose.\nBooster- If 3 doses given before the age of 6 months, additional fourth dose should be given.","Antigenic capsular polysaccharides induce Ab production.","Intramuscular","Not recommended for healthy children greater than 4 years.","Takeda, Japan (2009) and GlaxoSmithKline (2015)","NA","Aluminium phosphate","NA","Infants 2 to 6 months: tenderness, erythema, induration, unusual crying, irritability, vomiting, diarrhoea, change in eating habits, sleepiness, fever.\nChildren 12 to 15 months: unusual crying, irritability, vomiting, diarrhoea, change in eating habits, sleepiness, fever.\nBooster in children 16 to 20 months: irritability","NA","Both","NA","NA","NA","https://www.who.int/immunization_standards/vaccine_quality/VaxemHib_product_insert.pdf","NA","NA"
"1161","Quinvaxem inj.","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Subunit","DNA","From 6 weeks","DTwP – HepB – Hib vaccine.","Berna Biotech Korea Corp.","Korea","2006","Approved","Anaerobic gram-negative coccobacillus.","Predefined protective antibody level was 100% Hib short-term and 95% Hib long-term.","Homogeneous liquid","Primary vaccination : 3 doses of 0.5 mL and one booster dose of 0.5 mL at 15-18 months.","Immunostimulants","Intramuscular","Primary and booster immunisation against diphtheria, tetanus, pertussis, hepatitis B, and invasive illness caused by H. influenzae type b.","Distributed by: GlaxoSmithKline Pharmaceuticals Limited, India","WHO pre-qualified","Aluminium phosphate","For diphtheria, tetanus, pertussis and hepatitis B recombinant.","Temporary swelling, tenderness and redness with fever, feeding disorders, sleepiness, irritability.","NA","Both","NA","22889824","NA","https://india-pharma.gsk.com/media/787410/quinvaxem-with-gsk-as-distributor.pdf","DTwP-HepB-Hib","https://www.who.int/immunization_standards/vaccine_quality/pq_283_dtphepbhib_1dose_cPAD_Crucell_Korea_PI.pdf"
"1162","Hexaxim","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","From 6 weeks","DTaP-HepB-IPV-Hib fully liquid hexavalent vaccine.","Sanofi Pasteur","France","2012","Approved","Anaerobic gram-negative coccobacillus.","Vaccine effectiveness was of 96.7% for the full primary series, and 98.5% for booster dose.","Whitish, cloudy suspension","Primary vaccination: Three doses of 0.5 ml and booster dose during the second year.","Make antibodies and the active substances are fixed onto aluminium compounds.","Intramuscular","Primary and booster vaccination against diphtheria, tetanus, pertussis, hepatitis B, poliomyelitis and Haemophilus influenzae type b.","NA","WHO","Aluminium hydroxide","For diphtheria, tetanus, pertussis, hepatitis B, poliomyelitis.","Pain and redness at the injection site, irritability and crying.","NA","Combination doses","NA","NA","NCT02428491","https://www.who.int/immunization_standards/vaccine_quality/pq_284_Hexaxim_1dose_SP_Hexaxim_VPSAR.pdf","Hexyon and Hexacima","https://www.ema.europa.eu/en/documents/outside-eu-summary/hexaxim-medicine-overview_en.pdf"
"1163","Shan-5","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","From 6 weeks","Diphtheria, Tetanus, Pertussis (Whole Cell), Hepatitis B (rDNA) and Haemophilus influenzae type b conjugate vaccine.","Sanofi Healthcare India Private Limited","India","2014","Approved","Anaerobic gram-negative coccobacillus.","Seroprotection rate for Hib (99.5%).","White suspension","Three doses of 0.5 ml, at least 4 weeks gap.","Boosts the immune system and produces protective antibodies.","Intramuscular","Immunization against diphtheria, tetanus, pertussis, hepatitis B and haemophilus influenzae type b.","Marketed by : Sanofi Healthcare India Private Limited","Central Drugs Standard Control Organization, India and WHO pre-qualified.","Aluminium phosphate","For diphtheria, tetanus, pertussis and hepatitis B.","Pain, redness and swelling at injection site, fever, vomiting, crying, drowsiness, loss of appetite and irritability.","Vaccinee to be medically supervised for at least 30 minutes after vaccination.","Combination doses","NA","NA","NA","https://extranet.who.int/pqweb/content/shan-5-0","NA","https://www.1mg.com/drugs/shan-5-vaccine-264976"
"1164","Actacel","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Subunit","DNA","2 months to 6 years","Act-HIB reconstituted with TRIPACEL is Diphtheria, tetanus, acellular pertussis, Haemophilus influenzae type b conjugate vaccine.","Sanofi Pasteur Ltd","Canada","2001","Approved","Anaerobic gram-negative coccobacillus. ","NA","White to off-white suspension","Three dose immunization series, interval of 2 months, followed by a fourth dose.","NA","Intramuscular","Immunization against diphtheria, tetanus and pertussis and invasive Haemophilus influenzae type b infections.","Marketing Authorisation Holder: Sanofi Pasteur Ltd, Bangkok, Thailand","NA","Aluminium phosphate","For diphtheria, tetanus and acellular pertussis.","Injection site tenderness, swelling, redness, fever, fussiness, irritability, less active, eating less, crying, diarrhoea.","NA","Combination doses","NA","NA","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=761","DTaP-Hib","https://www.fda.moph.go.th/sites/drug/Summary/2C_25_44_N.pdf"
"1165","EasyFive-TT","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","From 6 weeks","Pentavalent vaccine (DTwP-HepB-Hib).","Panacea Biotech Ltd.","India","2009","Approved","Anaerobic gram-negative coccobacillus. ","The anti-PRP seroprotection rate was 89.5%.","Sterile and uniform suspension in multidose vial.","First dose as early as 6 weeks and two subsequent doses given at 4 week interval.","NA","Intramuscular","Immunization against diphtheria, tetanus, whole cell pertussis, hepatitis B and Haemophilus influenzae type b infections.","Marketing Authorisation Holder: Panacea Biotech Ltd, India","WHO","Aluminium phosphate","For diphtheria, tetanus, whole cell pertussis, hepatitis B.","Temporary swelling, tenderness and redness together with fever, feeding disorders, sleepiness, irritability","NA","Combination doses","NA","NA","NA","https://www.who.int/immunization_standards/vaccine_quality/pq_270_penta_panacea_10dose_product_insert.pdf?ua=1","NA","https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadSmPC/1850ml.pdf"
"1166","Pentaxim","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","From 2 months","Adsorbed diphtheria, tetanus, pertussis (acellular component), inactivated poliomyelitis and Haemophilus influenzae type b conjugate vaccine.","Sanofi Pasteur Ltd","Thailand","1997","Approved","Anaerobic gram-negative coccobacillus. ","92.2–100% of infants achieved seroprotective levels of anti-PRP (greater than or equal to 0.15 µg/ml) antibodies.","Powder and suspension","Two injections at 2 and 4 months of age and a booster at the age of 11 months OR three injections, gap of 1 to 2 months and booster within the second year of life.","NA","Intramuscular","Immunization against diphtheria, tetanus, acellular pertussis, inactivated poliomyelitis and Hib.","Marketing Authorisation Holder: Sanofi Pasteur SA, France","European Union Pharmacopoeia","Aluminium hydroxide ","For diphtheria, tetanus, acellular pertussis, inactivated poliomyelitis and Hib.","Injection site redness, swelling, pain, fever, vomiting, irritability, abnormal crying, nervousness, loss of appetite, somnolence.","NA","Combination doses","NA","21749196","NA","https://www.fda.moph.go.th/sites/drug/Shared%20Documents/Vaccine/U1DR2C1062470002211C-SPC.pdf","DTaP-IPV//PRP-T, Pentavac (in Western Europe)","NA"
"1167","Pediacel","Bacteria","Haemophilus influenzae type b (Hib)","Haemophilus influenzae","Combination","DNA","Over 6 weeks","Diphtheria, tetanus toxoids, acellular pertussis vaccine adsorbed combined with inactivated poliomyelitis vaccine and haemophilus b conjugate vaccine \n(Tetanus protein conjugate).","Sanofi Pasteur Limited","Canada","2004","Approved","Anaerobic gram-negative coccobacillus. ","The anti-PRP seroprotection rate (antibody concentration over 0.15 mg/mL) was 67.7% after a two or three dose primary series.","White to off-white suspension for injection","Primary vaccination: Two or three dose series, gap of at least 1 month.\nBooster vaccination: Single dose, 6 months after the last dose.","T-dependent immune response with induction of immunological priming and memory.","Intramuscular","Immunization against diphtheria, tetanus, pertussis, poliomyelitis and Haemophilus influenzae type b disease.","EU marketing authorisation","NA","Aluminium phosphate","For diphtheria, tetanus, pertussis, poliomyelitis and Hib.","Redness, swelling or tenderness, irritability, less activity, vomiting, unusual high-pitched crying, fever, appetite loss, diarrhoea.","NA","Combination doses","NA","21999652","NA","NA","NA","https://pdf.hres.ca/dpd_pm/00015723.PDF"
"1168","Q-VAX","Bacteria","Q Fever","Coxiella burnetii","Inactivated","Linear DNA","15 years and older (who work in high-risk occupations)","Formalin-inactivated phase I Coxiella burnetii vaccine.","Seqirus Pty Ltd","Australia","1999","Approved","Gram-negative bacterium.","100% protective efficacy.","Cloudy colourless liquid","Single dose of 0.5 mL.","Early antibody response is predominantly with the IgM subclass, IgG antibodies appear later and cell mediated immunity develops.","Subcutaneous","Recommended for people working with cattle, sheep or goats, or products from these animals.","NA","NA","NA","NA","Redness, itchiness, pain, burning, swelling, headaches, fever, muscle ache, fatigue, nausea, vomiting, diarrhoea and increased sweating.","NA","Single dose","Yes (by inhaling dust particles contaminated by infected animals)","NA","NA","https://labeling.seqirus.com/PI/AU/Q-Vax/EN/Q-Vax-Product-Information.pdf","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=237&keywords="
"1169","LEP-F1 + GLA-SE","Bacteria","Leprosy","Mycobacterium leprae","Subunit","DNA","18 to 55 years","Recombinant four-antigen Mycobacterium leprae antigen LEP-F1 in combination with the adjuvant formulation GLA-SE.","IDRI","Brazil","2021","Clinical - Withdrawn","Acid fast gram-positive bacteria.","NA","Suspension for injection","Three doses on days 0, 28, and 56.","LEP-F1-specific IgG antibodies and generated LEP-F1-specific Th1 cells.","Intramuscular","Prevention of leprosy.","NA","NA","GLA-SE","NA","Pain, erythema, induration,  headache, arthralgia, chills, loss of appetite, fever, fatigue and myalgia.","NA","Combination doses","NA","31899025","NCT03947437","NA","LepVax","NA"
"1170","rF1V","Bacteria","Plague","Yersinia pestis","Recombinant","Circular DNA","18 to 55 years","Recombinant Plague vaccine.","DynPort Vaccine Company LLC, A GDIT Company","United States","2012","Clinical - Phase 2","Gram negative bacteria.","NA","NA","Single dosage and two 3-dose schedules.","NA","Intramuscular","Protects from fatal pneumonic plague.","NA","NA","With or without Alhydrogel","NA","Transient edema and erythema at the injection site.","NA","Combination doses","Yes (enzootic from wild rodents and their fleas)","23908395","NCT01122784","NA","NA","NA"
"1171","Flagellin/F1/V","Bacteria","Plague","Yersinia pestis","Subunit","Circular DNA","18 to 45 years","Plague vaccine, Flagellin/F1/V, phosphate-buffered saline, pH 6.2. ","National Institute of Allergy and Infectious Diseases (NIAID)","United States","2014","Clinical - Phase 1","Gram-negative bacteria.","NA","Clear, colourless solution","Administered on days 0 and 28 at a dose of 1, 3, 6, or 10 micrograms (mcg).","Macrophage-protective antibody and significant CD4+ T-cell responses.","NA","NA","NA","NA","Flagellin","NA","NA","NA","Combination doses","Yes (enzootic from wild rodents and their fleas)","NA","NCT01381744","https://www.nature.com/articles/s41541-020-0156-y","NA","NA"
"1172","rBV A/B","Bacteria","Botulism","Clostridium botulinum","Recombinant","DNA","18 to 55 years","Recombinant Botulinum vaccine A/B. ","DynPort Vaccine Company LLC, A GDIT Company","NA","2019","Clinical - Withdrawn","Gram-positive anaerobic bacteria.","NA","Suspension for injection","0.5 mL dose at Days 0, 28 and 182.","BoNT neutralizing antibodies bind to BoNT and prevent its action at the cholinergic neurons.","Intramuscular","Protects from BoNT serotype A, subtype A1 (BoNT/A1) and BoNT serotype B, subtype B1 (BoNT/B1).","NA","NA","NA","NA","Transient mild inflammation at the injection site.","NA","Combination doses","NA","22269871","NCT01940315","NA","NA","NA"
"1173","VLA15","Bacteria","Lyme disease (Lyme borreliosis)","Borrelia burgdorferi","Recombinant","DNA","5 to 65 years","Multivalent recombinant OspA (Outer Surface Protein A) based vaccine.","Valneva Austria GmbH and Pfizer","United States","2026","Clinical - Phase 2","Gram-negative spirochete bacteria.","NA","NA","Three (month 0-2-6) or two (month 0-6) vaccinations.","Targets the outer surface protein A (OspA) of the bacteria.","Intramuscular","Protects from six serotypes of Borrelia.","NA","NA","Alum","NA","NA","NA","Combination doses","Yes (from the bite of infected blacklegged ticks)","NA","NCT04801420","https://www.clinicaltrialsarena.com/news/pfizer-valneva-lyme-disease/","NA","NA"
"1174","mv rOspA LB","Bacteria","Lyme disease (Lyme borreliosis)","Borrelia burgdorferi","Recombinant","DNA","18 to 70 years","Multivalent recombinant OspA Lyme Borreliosis vaccine.","Baxalta now part of Shire","Austria,  Germany","2014","Clinical - Phase 1, Phase 2","Gram-negative spirochete bacteria.","NA","Suspension for injection","Three primary doses and one booster dose.","NA","Intramuscular","NA","NA","NA","With or without adjuvant","NA","NA","NA","Combination doses","Yes (from the bite of infected blacklegged ticks)","NA","NCT01504347","NA","NA","NA"
"1175","Bexsero","Bacteria","Gonorrhoea","Neisseria gonorrhoeae","Recombinant","Circular DNA","18 to 25 years","4-component Neisseria meningitidis group B vaccine (4CMenB).","University of North Carolina, Chapel Hill","United States","2020","Clinical - Phase 4","Gram-negative diplococcus bacteria.","NA","Suspension for injection","Two-doses, second dose at 5th week.","Induces antibodies in humans that recognize gonococcal proteins.","Intramuscular","NA","NA","NA","NA","For serogroup B Meningococcal disease.","NA","NA","Combination doses","NA","30551148","NCT04094883","NA","4CMenB, rMenB+OMV NZ","NA"
"1176","CTH522","Bacteria","Chlamydia","Chlamydia trachomatis","Recombinant","DNA","Women of 18 to 45 years","Recombinant protein subunit adjuvanted vaccine.","Statens Serum Institut","United Kingdom","2017","Clinical - Phase 1","Gram-negative bacteria, coccoid or rod shape.","NA","Suspension for injection","Four vaccinations.","NA","Intramuscular","Prevents chlamydia.","NA","NA","CAF01, aluminium hydroxide","NA","Mild local injection-site reactions.","NA","Combination doses","NA","31416692","NCT02787109","https://www.precisionvaccinations.com/vaccines/cth522-chlamydia-vaccine","CHLM-02","NA"
"1177","rAT and rLukS-PV","Bacteria","Methicillin-Resistant Staphylococcus aureus (MRSA)","Staphylococcus aureus","Toxoid","Circular DNA","18 to 55 years","Two S. aureus toxoids - protein rAT and protein rLukS-PV.","Uniformed Services University of the Health Sciences","United States","2011","Clinical - Phase 1, Phase 2","Gram-positive bacteria.","NA","NA","Single dose of monovalent or bivalent toxoid vaccine.","NA","NA","NA","NA","NA","Alum","NA","NA","NA","Single dose","NA","NA","NCT01011335","NA","NA","NA"
"1178","SA4AG","Bacteria","Methicillin-Resistant Staphylococcus aureus (MRSA)","Staphylococcus aureus","Polysaccharide","Circular DNA","18 to 85 years","S. aureus 4-antigen vaccine (SA4Ag).","Pfizer","Austria, Bulgaria, Canada, France, Germany, Hungary, Japan, Spain, Sweden, United Kingdom, United States","2019","Clinical - Terminated","Gram-positive bacteria.","NA","Reconstituted in 0.5mL water for injection.","Single dose.","Targets S. aureus virulence factors.","Intramuscular","Prevents postoperative Staphylococcus aureus infections.","NA","NA","NA","NA","NA","NA","Single dose","NA","27916408","NCT02388165","NA","NA","NA"
"1179","SA3Ag","Bacteria","Methicillin-Resistant Staphylococcus aureus (MRSA)","Staphylococcus aureus","Polysaccharide","Circular DNA","18 to 85 years","3-Antigen S. aureus vaccine.","Pfizer","Australia","2011","Clinical - Phase 1","Gram-positive bacteria.","NA","NA","Three doses and a booster.","Generates antibodies that inhibit the Fg binding of invasive S. aureus.","Intramuscular","NA","NA","NA","NA","For Staphylococcal skin infections.","Mild injection site reactions.","NA","Combination doses","NA","25707693","NCT01018641","NA","NA","NA"
"1180","NDV-3","Bacteria","Methicillin-Resistant Staphylococcus aureus (MRSA)","Staphylococcus aureus","Recombinant","Circular DNA","18 to 50 years","Recombinant protein vaccine.","NovaDigm Therapeutics, Inc.","United States","2011","Clinical - Phase 1","Gram-positive bacteria.","NA","NA","Two doses, 6 months apart at two dose levels.","Increases in CD3+ T-cell and neutrophil infiltration and IL-17A, IL-22 and host defence peptide expression.","Intramuscular","NA","NA","NA","Alum","For Candida.","NA","NA","Combination doses","NA","25489065","NCT01273922","NA","NA","NA"
"1181","StaphVAX","Bacteria","Methicillin-Resistant Staphylococcus aureus (MRSA)","Staphylococcus aureus","Conjugate","Circular DNA","18 years and older","Bivalent S. aureus glycoconjugate vaccine.","Nabi Biopharmaceuticals","NA","2005","Clinical - Failed","Gram-positive bacteria.\n\n","64% through 32 weeks of follow-up and 57% through 40 weeks of follow-up.","NA","Two doses.","NA","NA","Treatment of infections in kidney patients receiving peritoneal dialysis and are prone to serious staphylococcal infections.","NA","NA","NA","For Kidney failure, chronic.","NA","NA","Combination doses","NA","12054071","NCT00071214","https://www.fda.gov/media/109113/download","NA","NA"
